target_x,target_y,target_z,encoder_x,encoder_y,measured_x,measured_y,time,normalized_x,normalized_y,error_x,error_y,error_x_mag,error_y_mag,velocity
0,0,73,0,0,34.5,8.25,14.3,=F2-F$2,=G2-G$2,=I2-A2,=J2-B2,=ABS(K2),=ABS(L2),
490,0,75,489.98,0,=2*B14+95.25,8,35.8,=F3-F$2,=G3-G$2,=I3-A3,=J3-B3,=ABS(K3),=ABS(L3),=SQRT((F3-F2)^2+(G3-G2)^2) / H3
0,0,73,0,0,34.5,8.25,35.4,=F4-F$2,=G4-G$2,=I4-A4,=J4-B4,=ABS(K4),=ABS(L4),=SQRT((F4-F3)^2+(G4-G3)^2) / H4
0,224,85,0,224.02,32.75,233.75,14.77,=F5-F$2,=G5-G$2,=I5-A5,=J5-B5,=ABS(K5),=ABS(L5),=SQRT((F5-F4)^2+(G5-G4)^2) / H5
0,0,73,0,0,34.5,8.25,8.91,=F6-F$2,=G6-G$2,=I6-A6,=J6-B6,=ABS(K6),=ABS(L6),=SQRT((F6-F5)^2+(G6-G5)^2) / H6
490,224,85,489.98,224.02,524.25,233.25,36.1,=F7-F$2,=G7-G$2,=I7-A7,=J7-B7,=ABS(K7),=ABS(L7),=SQRT((F7-F6)^2+(G7-G6)^2) / H7
0,0,73,0,0,34.5,8.25,37.33,=F8-F$2,=G8-G$2,=I8-A8,=J8-B8,=ABS(K8),=ABS(L8),=SQRT((F8-F7)^2+(G8-G7)^2) / H8
490,0,75,489.98,0,=2*B14+95.25,7.75,35.8,=F9-F$2,=G9-G$2,=I9-A9,=J9-B9,=ABS(K9),=ABS(L9),=SQRT((F9-F8)^2+(G9-G8)^2) / H9
0,0,73,0,0,34.75,8.25,35.9,=F10-F$2,=G10-G$2,=I10-A10,=J10-B10,=ABS(K10),=ABS(L10),=SQRT((F10-F9)^2+(G10-G9)^2) / H10
0,224,85,o,224.02,33,234,9.3,=F11-F$2,=G11-G$2,=I11-A11,=J11-B11,=ABS(K11),=ABS(L11),=SQRT((F11-F10)^2+(G11-G10)^2) / H11
,,,,,,,,,,,,,,
PAGE GAP,8,,,,,,,,,,,,,
PAGE SIZE,=206.5+B13,,,,,,,,,,,,,
